Gene			mutation freqency in human	# of mutation in dog
OPHN1	3	109	0.027522936	2
EWSR1	2	109	0.018348624	2
RPN2	1	109	0.009174312	2
MED1	2	109	0.018348624	2
DDX46	2	109	0.018348624	2
PKDREJ	2	109	0.018348624	2
TET2	2	109	0.018348624	2
POLR3G	1	109	0.009174312	2
DNMT1	1	109	0.009174312	2
KIF5A	1	109	0.009174312	2
CD3G	1	109	0.009174312	2
USP47	4	109	0.036697248	2
PPARGC1A	1	109	0.009174312	2
RPL26	1	109	0.009174312	2
EYA4	3	109	0.027522936	2
ABCB5	1	109	0.009174312	2
ABCB4	2	109	0.018348624	2
ADAM9	2	109	0.018348624	2
PSME4	1	109	0.009174312	2
UGT8	1	109	0.009174312	2
RASGRF2	3	109	0.027522936	2
FAM179B	3	109	0.027522936	2
SLC30A9	2	109	0.018348624	2
GTF2B	1	109	0.009174312	2
TSPEAR	1	109	0.009174312	2
LPIN1	1	109	0.009174312	2
HEATR1	1	109	0.009174312	2
SYCP2L	1	109	0.009174312	2
F11	1	109	0.009174312	2
SERPINA12	3	109	0.027522936	2
DDHD1	1	109	0.009174312	2
DNAJC10	1	109	0.009174312	2
FMO1	2	109	0.018348624	2
DZIP3	3	109	0.027522936	2
GLYR1	1	109	0.009174312	2
MASTL	1	109	0.009174312	2
RNF19A	3	109	0.027522936	2
ROBO2	3	109	0.027522936	2
ELOVL4	1	109	0.009174312	2
NUMA1	4	109	0.036697248	2
SCFD1	1	109	0.009174312	2
SCCPDH	1	109	0.009174312	2
COLEC12	1	109	0.009174312	2
PDS5B	2	109	0.018348624	2
AKAP11	1	109	0.009174312	2
HTRA4	1	109	0.009174312	2
IMPDH2	1	109	0.009174312	2
ANK3	8	109	0.073394495	2
USP26	1	109	0.009174312	2
CENPJ	3	109	0.027522936	2
PLEKHA5	2	109	0.018348624	2
DOPEY2	2	109	0.018348624	2
KIAA0430	2	109	0.018348624	2
RB1	34	192	0.177083333	2
ZBTB6	2	109	0.018348624	2
ZC3HAV1	1	109	0.009174312	2
ZFP1	1	109	0.009174312	2
ECT2	1	109	0.009174312	2
CACNA2D1	1	109	0.009174312	2
GRK7	1	109	0.009174312	2
HIRIP3	1	109	0.009174312	2
OR11H4	1	109	0.009174312	2
STEAP2	2	109	0.018348624	2
TBCK	1	109	0.009174312	2
GRB14	1	109	0.009174312	2
ATP6V1H	1	109	0.009174312	2
HEATR5B	1	109	0.009174312	2
RCAN2	1	109	0.009174312	2
HFM1	5	109	0.04587156	2
ALB	1	109	0.009174312	2
ABCA9	1	109	0.009174312	2
CORIN	3	109	0.027522936	2
FTSJ3	1	109	0.009174312	2
REST	2	109	0.018348624	2
HDAC2	1	109	0.009174312	2
CRNN	1	109	0.009174312	2
MYO5C	2	109	0.018348624	2
SUMF2	1	109	0.009174312	2
STAT1	2	109	0.018348624	2
ZNF79	1	109	0.009174312	2
ENPP3	3	109	0.027522936	2
CFHR5	1	109	0.009174312	2
ELF1	2	109	0.018348624	2
ELF4	3	109	0.027522936	2
GMPR2	1	109	0.009174312	2
OR10J3	1	109	0.009174312	2
CAMK4	1	109	0.009174312	1
ZC3H13	2	109	0.018348624	1
ATP2A2	3	109	0.027522936	1
ITGA4	1	109	0.009174312	1
DENND4C	1	109	0.009174312	1
ABCB1	1	109	0.009174312	1
THSD1	2	109	0.018348624	1
COL4A3	3	109	0.027522936	1
COL4A2	1	109	0.009174312	1
COL4A1	2	109	0.018348624	1
ITGAV	2	109	0.018348624	1
SMAD4	1	123	0.008130081	1
AFTPH	1	109	0.009174312	1
PLRG1	1	109	0.009174312	1
SLC36A3	1	109	0.009174312	1
CUEDC1	1	109	0.009174312	1
SRBD1	1	109	0.009174312	1
SP4	1	109	0.009174312	1
CFH	5	109	0.04587156	1
HMG20A	1	109	0.009174312	1
AAGAB	1	109	0.009174312	1
C4orf17	2	109	0.018348624	1
CHFR	1	109	0.009174312	1
APP	2	109	0.018348624	1
RFX3	1	109	0.009174312	1
XPNPEP2	1	109	0.009174312	1
XPNPEP3	2	109	0.018348624	1
GGCX	2	109	0.018348624	1
ZNHIT6	1	109	0.009174312	1
DPYSL5	1	109	0.009174312	1
SET	1	109	0.009174312	1
CKLF	1	109	0.009174312	1
ZNF114	2	109	0.018348624	1
TMC5	1	109	0.009174312	1
TMC1	1	109	0.009174312	1
CTCFL	1	109	0.009174312	1
UFSP2	1	109	0.009174312	1
CADPS	2	109	0.018348624	1
ERGIC2	1	109	0.009174312	1
DLGAP5	1	109	0.009174312	1
BRD8	2	109	0.018348624	1
UTRN	3	109	0.027522936	1
NDRG3	1	109	0.009174312	1
RNF139	1	109	0.009174312	1
TSHZ2	1	109	0.009174312	1
COL4A6	1	109	0.009174312	1
MYO1B	3	109	0.027522936	1
PGBD1	2	109	0.018348624	1
NEMF	1	109	0.009174312	1
EIF2AK3	3	109	0.027522936	1
EIF2AK2	1	109	0.009174312	1
KIAA1524	2	109	0.018348624	1
KIAA1033	1	109	0.009174312	1
ILKAP	1	109	0.009174312	1
RSBN1	1	109	0.009174312	1
MYSM1	1	109	0.009174312	1
10-Mar	1	109	0.009174312	1
RAB3GAP2	1	109	0.009174312	1
TPRKB	1	109	0.009174312	1
GJC3	1	109	0.009174312	1
RMI1	1	109	0.009174312	1
MLH3	1	109	0.009174312	1
LTN1	3	109	0.027522936	1
NUP160	2	109	0.018348624	1
FOXN2	1	109	0.009174312	1
GRIN2B	1	109	0.009174312	1
C11orf30	1	109	0.009174312	1
WEE2	2	109	0.018348624	1
AKAP6	2	109	0.018348624	1
AKAP9	5	109	0.04587156	1
CYP26A1	1	109	0.009174312	1
HSP90B1	3	109	0.027522936	1
PMFBP1	1	109	0.009174312	1
ALPK2	1	109	0.009174312	1
RALBP1	1	109	0.009174312	1
RAB33B	1	109	0.009174312	1
SLC17A5	1	109	0.009174312	1
CHMP4C	1	109	0.009174312	1
COBLL1	1	109	0.009174312	1
BFSP2	1	109	0.009174312	1
MMP27	1	109	0.009174312	1
MMP26	1	109	0.009174312	1
PPP3CA	1	109	0.009174312	1
PPP3CB	1	109	0.009174312	1
GPATCH8	1	109	0.009174312	1
FNDC7	1	109	0.009174312	1
FN1	4	109	0.036697248	1
SYT1	2	109	0.018348624	1
MARCO	2	109	0.018348624	1
TCP11L1	1	109	0.009174312	1
BRIP1	1	109	0.009174312	1
ITGBL1	1	109	0.009174312	1
TANC1	1	109	0.009174312	1
UBE2J1	1	109	0.009174312	1
CCDC73	3	109	0.027522936	1
CGRRF1	1	109	0.009174312	1
ZNF436	2	109	0.018348624	1
MAP1B	1	109	0.009174312	1
UNC5D	2	109	0.018348624	1
MED13L	1	109	0.009174312	1
PTCD3	1	109	0.009174312	1
HLTF	1	109	0.009174312	1
NMNAT2	3	109	0.027522936	1
EPB41L2	1	109	0.009174312	1
EPB41L5	2	109	0.018348624	1
ACSS3	1	109	0.009174312	1
RUNX1T1	1	109	0.009174312	1
RPA1	1	109	0.009174312	1
C1S	2	109	0.018348624	1
COQ6	1	109	0.009174312	1
RREB1	1	109	0.009174312	1
PHC1	1	109	0.009174312	1
ZNF365	1	109	0.009174312	1
SIK3	3	109	0.027522936	1
ACTR3	1	109	0.009174312	1
GBX2	2	109	0.018348624	1
YTHDF2	1	109	0.009174312	1
ADAM12	1	109	0.009174312	1
CPNE8	2	109	0.018348624	1
CPNE1	2	109	0.018348624	1
OPALIN	1	109	0.009174312	1
PTPRK	2	109	0.018348624	1
HIPK3	2	109	0.018348624	1
NAPB	1	109	0.009174312	1
ELAVL2	1	109	0.009174312	1
FBXO30	1	109	0.009174312	1
FBXO32	2	109	0.018348624	1
FBXO38	1	109	0.009174312	1
APBB1	1	109	0.009174312	1
BRWD1	3	109	0.027522936	1
LONRF2	1	109	0.009174312	1
LONRF1	1	109	0.009174312	1
CDCA7L	1	109	0.009174312	1
MORC4	1	109	0.009174312	1
DYNC1I1	1	109	0.009174312	1
FAM60A	2	109	0.018348624	1
ADAT2	1	109	0.009174312	1
E2F7	1	109	0.009174312	1
ZNFX1	1	109	0.009174312	1
ACBD6	1	109	0.009174312	1
TEX14	2	109	0.018348624	1
URB2	1	109	0.009174312	1
IL36G	1	109	0.009174312	1
SEC24A	2	109	0.018348624	1
SEC24B	2	109	0.018348624	1
OR4A47	2	109	0.018348624	1
KDM1B	1	109	0.009174312	1
NEK9	1	109	0.009174312	1
